,summary,Klima,Anpassung,Sommer,Schule,word
berlin ohne,2.1580207222654324,-0.1664884058620982,0.4623958507769213,-0.2461313920432914,0.08251917769634859,berlin ohne
Zusatz,2.1642448148097655,-0.16936842181349437,0.4675442307324511,-0.24901140799468735,0.07963916174495268,Zusatz
ohne zusatz,2.1642448148097655,-0.16936842181349437,0.4675442307324511,-0.24901140799468735,0.07963916174495268,ohne zusatz
Kitsch,2.1792733700259217,-0.1762884412764563,0.4797477627316839,-0.25593142745764946,0.0727191422819907,Kitsch
zusatz kitsch,2.1792733700259217,-0.1762884412764563,0.4797477627316839,-0.25593142745764946,0.0727191422819907,zusatz kitsch
kitsch wenn,2.18995379505835,-0.18117738199858976,0.4882305329320223,-0.2608203681797828,0.06783020155985704,kitsch wenn
Tobias,3.4047859363566055,-0.6224790067218627,0.9675405138908614,-0.7021219929030559,-0.37347142316341597,Tobias
wenn tobias,2.5800638024245255,-0.34511106478928466,0.7198194754055979,-0.42475405097047775,-0.09610348123083785,wenn tobias
Kratzer,3.7791884230520743,-0.7268062202228748,0.8725125334460483,-0.4019821243271262,-0.4777986366644278,Kratzer
tobias kratzer,3.0120637360350457,-0.49992240695559065,0.8737787064579744,-0.5795653931367838,-0.2509148233971437,tobias kratzer
begehrteste,2.6140607098885393,-0.3582017763719348,0.7347995397776169,-0.43784476255312793,-0.10919419281348773,begehrteste
kratzer begehr+t+est+e,2.6140607098885393,-0.3582017763719348,0.7347995397776169,-0.43784476255312793,-0.10919419281348773,kratzer begehr+t+est+e
Opernregisseur,2.6720125916208275,-0.3801289046358618,0.7589777486727525,-0.45977189081705494,-0.13112132107741478,Opernregisseur
begehr+t+est+e oper+n+regisseur,2.6720125916208275,-0.3801289046358618,0.7589777486727525,-0.45977189081705494,-0.13112132107741478,begehr+t+est+e oper+n+regisseur
oper+n+regisseur gegenwart,2.799943520071243,-0.4268961821142069,0.8070374485202997,-0.5065391682953999,-0.1778885985557598,oper+n+regisseur gegenwart
gegenwart berlin,2.709193841826729,-0.3939480518359749,0.7736577094790598,-0.47359103801716795,-0.14494046827752796,gegenwart berlin
Richard,3.5190362603733814,-0.6554840989957408,0.9895820710946716,-0.735127085176934,-0.40647651543729413,Richard
berlin richard,3.054474211465272,-0.5139044068109688,0.8855420105875479,-0.5935473929921617,-0.264896823252522,berlin richard
Strauss,4.391548785599945,-0.876978899950058,1.1109831531615637,-0.9566218861312512,-0.6279713163916112,Strauss
richard strauss,3.823134093835984,-0.7383674661909445,1.0399673884215952,-0.8180104523721375,-0.4893598826324976,richard strauss
strauss frau,4.326291756477974,-0.8620077043478848,1.1040039553120646,-0.9416506905290778,-0.6130001207894378,strauss frau
frau schatten,7.431257566659096,-1.4029920362176354,1.2837619858870613,-1.4826350223988285,-1.1539844526591883,frau schatten
inszeniert,4.026621392877367,-0.790224596824252,1.0682975782142194,-0.8698675830054452,-0.5412170132658051,inszeniert
schatten inszenier+t,3.6032926433315318,-0.6791449871364459,1.0046593285740728,-0.758787973317639,-0.43013740357799907,schatten inszenier+t
inszenier+t führ+t,3.1659509838209616,-0.5497504158258336,0.9143673413490797,-0.6293934020070268,-0.30074283226738674,inszenier+t führ+t
fulminante,2.927946189121366,-0.47159815443748837,0.8489905291531082,-0.5512411406186813,-0.22259057087904136,fulminante
führ+t fulminant+e,2.927946189121366,-0.47159815443748837,0.8489905291531082,-0.5512411406186813,-0.22259057087904136,führ+t fulminant+e
Weise,2.8127778924842954,-0.4314695054057857,0.8114993473063495,-0.5111124915869788,-0.18246192184733878,Weise
fulminant+e weise,2.8127778924842954,-0.4314695054057857,0.8114993473063495,-0.5111124915869788,-0.18246192184733878,fulminant+e weise
Waschsalon,2.2943634267929673,-0.22775236763044268,0.5637395436224405,-0.30739535381163574,0.021255215928004247,Waschsalon
weise wasch+salon,2.2943634267929673,-0.22775236763044268,0.5637395436224405,-0.30739535381163574,0.021255215928004247,weise wasch+salon
